index,text,score,correct spelling,percent,novel word count
1018,"the way of the sabbit say in the door, and the white rabbit blowered to she had got to see if he had",0,21,0.91,0
19,"led out in a trembling voice to
its children, 'come away, my dears! it's high time you were all in b",1,21,1.0,0
1019,"r the mock turtle is deter the temescops of the way of the sabbit say in the door, and the white rab",0,20,0.91,5
20," she did it so quickly
that the poor little juror (it was bill, the lizard) could not make out
at al",1,21,1.0,2
1020,"l the rabbit say in the door, and the white rabbit blowered to her the had erowned to see if he had ",0,20,0.91,1
21,"r skirt,
upsetting all the jurymen on to the heads of the crowd below, and there
they lay sprawling ",1,19,1.0,1
1021,"the dancee in the door, and the white rabbit blowered about the words of the sabbit say in the door,",0,17,0.85,0
22,"and--oh dear!' cried alice in a sorrowful
tone, 'i'm afraid i've offended it again!' for the mouse w",1,17,0.94,4
1022,"as seel a little thing was seeling to the crehess, and was so spok the words ouer as she was see as ",0,19,0.86,2
23,"ly not becoming.

'and that's the jury-box,' thought alice, 'and those twelve creatures,'
(she was o",1,15,0.94,3
1023,"ot the pueen say the way of the way of the door of the thing sabbit, who was a long tay the way of t",0,23,0.92,3
24,"xt to
no toys to play with, and oh! ever so many lessons to learn! no, i've
made up my mind about it",1,22,0.96,1
1024,", i should lake the dance?    'you may with the reason in the semescope all the boowser '

'i dan't ",0,15,0.75,3
25,"re a serpent; and there's no use
denying it. i suppose you'll be telling me next that you never tast",1,18,0.9,2
1025,"ed on the temee way of tersents and degl the things beain, and was going to be some time the white r",0,18,0.82,2
26,"!' said five. 'i heard the queen say only
yesterday you deserved to be beheaded!'

'what for?' said ",1,17,0.94,2
1026,"the mock turtle, 
'i dan't ree what a poor of the sable of the sea,   she said to herself, 'i don't ",0,20,0.95,6
27,". 'but perhaps it was only sobbing,'
she thought, and looked into its eyes again, to see if there we",1,19,0.95,0
1027,re all cronued of the sabbit-s vell she say down and she was going to say it the larch hare and the ,0,20,0.91,4
28,"-and the sneeze of the baby, the
shriek of the gryphon, and all the other queer noises, would change",1,19,1.0,1
1028," the daneee in the door, and the white rabbit blowered to she had good the tout of the sabbit say in",0,18,0.86,1
29,"sending a
written explanation to the person you received the work from.  if you
received the work on",1,18,1.0,0
1029, the project gutenberg literary archive foundation are all dopyright in the unrk or project gutenber,0,11,0.73,5
30,"in particular. 'she'd soon fetch it back!'

'and who is dinah, if i might venture to ask the questio",1,18,0.95,2
1030,"n,' said the mouse, 'and the mort of the sable with the words '

'i don't know what i have to be a l",0,23,0.96,6
31,"p when i breathe""!'

'it is the same thing with you,' said the hatter, and here the
conversation dro",1,18,0.95,2
1031,"m the words was she was seer out of the was so see what say the sabbit say in the door, and she was ",0,23,0.96,1
32,"worse. you must have meant some mischief, or else you'd have signed your
name like an honest man.'

",1,18,1.0,0
1032,"'i don't know what i have to be a little birler,' she said to herself, 'i don't know what i can the ",0,22,1.0,5
33,"her the blows hurt it or not.

'oh, please mind what you're doing!' cried alice, jumping up and down",1,19,1.0,1
1033, and alice sooe of the sobee to tay the way of the way of the dane with the words of her head a litt,0,21,0.88,3
34,"ery seldom followed it),
and sometimes she scolded herself so severely as to bring tears into
her ey",1,17,0.94,1
1034,"es with the soot of the sabbit say in the dares of her head a little sartering, and she was going to",0,20,0.91,3
35,"ht she, 'what would become of me? they're dreadfully
fond of beheading people here; the great wonder",1,17,1.0,1
1035," is made of seered on the thmee sable as she could she was so spok the words tall, 
'i don't know wh",0,19,0.86,4
36,"dy looked at alice.

'i'm not a mile high,' said alice.

'you are,' said the king.

'nearly two mile",1,19,1.0,4
1036,"s of the simg,' said the daterpillar.

'i don't know what i can't ree whth an any ratt!' said the mo",0,17,0.81,5
37,"o or distributing project gutenberg-tm electronic works provided
that

- you pay a royalty fee of 20",1,14,0.82,2
1037,% information of the project gutenberg literary archive foundation are all dopyright in the uery col,0,12,0.75,5
38,"n it wasn't very civil of you to offer it,' said alice angrily.

'it wasn't very civil of you to sit",1,21,1.0,2
1038,"hecl the rememcer of the semescop, it was the mittle door,   she was not a mouse and she was soon li",0,18,0.86,2
39,"      (with alice's love).

oh dear, what nonsense i'm talking!'

just then her head struck against ",1,14,0.93,1
1039,"the had erowded to say the sabbit say in the door, and the white rabbit blowered to herself at the c",0,18,0.86,0
40,"orld would go round a deal faster than it does.'

'which would not be an advantage,' said alice, who",1,18,0.95,1
1040," was a louse of the sabbit say in the door, and the pueen say down and said, 'it was the mock turtle",0,20,0.91,3
41,"d so, very carefully, with one foot.

'get up!' said the queen, in a shrill, loud voice, and the thr",1,19,0.95,2
1041,"ee gardeners intart for to sele the had euen whth the words ouer the was soeezing on the time, 
'i d",0,16,0.76,4
42,"er, while more and more faintly
came, carried on the breeze that followed them, the melancholy words",1,17,1.0,1
1042," as she was so speak again, 
'i don't know what i have to be a little birler,' she said to herself, ",0,21,1.0,3
43,"ould remember about ravens and writing-desks,
which wasn't much.

the hatter was the first to break ",1,14,0.88,0
1043,"the daneee in the door, and the white rabbit blowered to she had got to see if he had to see if he w",0,22,0.92,1
44,"'s generally a frog or a worm. the question is, what did the
archbishop find?'

the mouse did not no",1,20,1.0,1
1044,"t a boot, and she was soeekny and said, 'i don't know what i can teil to her the dookouse. 

'you ma",0,20,0.91,5
45,"repeated their arguments to her, though, as they
all spoke at once, she found it very hard indeed to",1,19,1.0,0
1045," see it again, 
'i don't know what i have to be a little birler,' she said to herself, 'i don't know",0,21,1.0,4
46,"ey're not,' said the white rabbit, 'and that's the queerest thing
about it.' (the jury all looked pu",1,18,1.0,2
1046,"zzled to the thing, 
'when i can't ree what i have tome mine the danee?                             ",0,13,0.87,4
47,"d trademark.  project
gutenberg is a registered trademark, and may not be used if you
charge for the",1,17,0.94,2
1047, project gutenberg literary archive foundation ar so dompent to the project gutenberg literary archi,0,10,0.71,7
48,"go by the carrier,' she thought; 'and how funny it'll seem, sending
presents to one's own feet! and ",1,18,1.0,0
1048,"weat it the doomouse shanl tell you a long tale to the table, 
'iow don't mnnk at a curious ' said t",0,16,0.73,1
49,"tements concerning tax treatment of donations received from
outside the united states.  u.s. laws al",1,14,0.93,2
1049,o of the project gutenberg literary archive foundation are all fopyright in the project gutenberg li,0,13,0.81,7
